firm_id,p,d,q,criterion,score,nobs
123206,0,0,0,bic,-32.426635786976945,17
128954,0,0,0,bic,7.587940311718905,24
13287,0,0,1,bic,-5.95753673825816,23
142143,0,0,1,bic,-2.0682231073785378,16
156537,0,0,1,bic,31.75482802766151,14
1589363170356,2,0,0,bic,10.539493112318294,16
1589363225900,0,0,1,bic,24.344133299234205,24
1589363338321,0,0,0,bic,23.069657586947983,16
1589363356218,2,0,0,bic,17.473011736037552,15
1589363512364,0,0,0,bic,17.361824594201607,20
1589363555473,0,0,0,bic,17.226804537284337,14
1589363757607,0,0,0,bic,-28.801297888894602,21
1589363830511,0,0,0,bic,-4.691495389298854,22
1589363988690,0,0,1,bic,60.71290420005794,22
1590785072555,0,0,0,bic,37.30091165114858,23
1591124482692,0,0,0,bic,13.339065779183535,18
1591125244341,1,0,0,bic,1.3164858482304993,22
1591211602243,0,0,2,bic,40.168049036470244,16
1591624310885,0,0,2,bic,16.304874792055422,12
1591886761362,0,0,0,bic,13.876967873352182,23
1591904620618,0,0,0,bic,-13.532420442798214,14
1592249524990,1,0,0,bic,-21.863343428467466,23
1592316142525,0,0,0,bic,15.566992723201372,16
1592422191290,0,0,0,bic,-0.42283887160601275,14
1593614379396,0,0,0,bic,33.43135979533493,14
1593711068155,1,0,0,bic,-30.3619415373619,22
1594222122934,2,0,1,bic,-8.230778810805173,18
1594308028343,0,0,0,bic,24.00827329152981,16
1594647804858,0,0,0,bic,-27.1578527129544,23
1595271517057,0,0,0,bic,33.41313668004872,19
1595629024653,0,0,1,bic,-7.81189769978077,21
1596729157454,0,0,1,bic,21.417830020679787,16
1600956836407,1,0,0,bic,3.6533139317302847,19
1601301058287,0,0,0,bic,34.08914858406947,18
1605293269333,0,0,0,bic,23.368893308561056,16
1607978499197,0,0,0,bic,47.20411738310209,17
1615490681779,0,0,0,bic,9.864886996049181,14
1615919522344,0,0,0,bic,9.368509040227467,12
1616594085463,0,0,2,bic,19.003386394654644,14
1620056195780,0,0,0,bic,22.460498105642323,16
1622646144529,0,0,1,bic,8.73580641010323,12
