outcome,regressor,fixed_effects,coefficient,std_error,t_stat_zero,p_value_zero_two_sided,nobs,r_squared,null_value,t_stat_eta_eq_1,p_value_eta_eq_1_two_sided,p_value_eta_gt_1_one_sided
fe2,sigma_target_w6,none,0.7151054395536216,0.0745598322932852,9.591028004740073,0.0,4101,0.16000700588278116,,,,
fe2,sigma_target_w6,firm,0.0847084384482788,0.08869590676630625,0.9550433783992589,0.33961608170148794,4101,0.0032420833839857943,,,,
fe2,sigma_target_w6,firm_time,0.09632888860859816,0.0915196248532942,1.0525489889519672,0.29261563558817616,4101,0.002720577790550349,,,,
fe2,sigma2,none,0.6732959438199383,0.10118840590556286,6.6538842844140875,3.2316815889998907e-11,4101,0.1382598414901013,,,,
fe2,sigma2,firm,0.01037723316422684,0.11043938741492096,0.09396315397186655,0.9251433449367872,4101,0.00222252790110411,,,,
fe2,sigma2,firm_time,0.0213466529587034,0.11234235520419883,0.1900142908692158,0.8493082275498134,4101,0.0014714996534909153,,,,
log_fe2_c,log_sigma2,none,0.5494310811131792,0.03230235117537586,17.00901207253333,0.0,4101,0.15715404488597062,1.0,-13.948486797155816,3.213511863572466e-44,1.0
log_fe2_c,log_sigma2,firm,0.1284553993750176,0.04080956642738439,3.1476786111802535,0.0016583792493998217,4101,0.009483020332299641,1.0,-21.356379812948735,3.401758592631007e-101,1.0
log_fe2_c,log_sigma2,firm_time,0.11346216798967805,0.04245310069485433,2.6726473716307515,0.007558141940953389,4101,0.008261490752448197,1.0,-20.882758090689425,7.682661039020075e-97,1.0
normalized_fe2,sigma_target_w6,none,-13.212704500989247,2.9645194395612005,-4.456946486728032,8.535728406311449e-06,4101,0.006082971902153234,,,,
normalized_fe2,sigma_target_w6,firm,-33.410227738056555,7.1039915748945095,-4.703021869582197,2.653820452946931e-06,4101,0.013405355934502095,,,,
normalized_fe2,sigma_target_w6,firm_time,-33.46818797185385,7.061766557492446,-4.7393506567198145,2.2236929155816654e-06,4101,0.01331085361187423,,,,
