firm_id,sales_growth_observations,matched_sales_forecasts,price_growth_observations,matched_price_forecasts
102096,0,0,0,0
106151,0,0,0,0
10807,0,0,0,0
110323,0,0,0,0
112406,0,0,0,0
113351,2,2,0,0
114410,0,0,0,0
115077,0,0,0,0
116246,0,0,0,0
117504,0,0,0,0
121259,0,0,0,0
121460,0,0,0,0
121937,0,0,0,0
123206,17,17,5,1
126197,8,8,0,0
126860,0,0,0,0
128457,1,1,0,0
128954,24,24,7,3
12912,0,0,0,0
130612,0,0,0,0
131963,0,0,0,0
132389,7,7,1,0
13287,23,23,6,2
142143,16,16,0,0
142881,0,0,0,0
146081,0,0,0,0
146290,0,0,0,0
148680,1,1,0,0
151534,0,0,0,0
151703,0,0,0,0
155833,0,0,0,0
156537,14,14,0,0
157198,5,3,0,0
1589363024531,0,0,0,0
1589363030855,0,0,0,0
1589363032397,0,0,0,0
1589363035437,0,0,0,0
1589363052884,8,8,5,1
1589363063515,0,0,0,0
1589363065075,0,0,0,0
1589363069284,0,0,0,0
1589363070790,0,0,0,0
1589363073614,0,0,0,0
1589363076633,0,0,0,0
1589363085013,0,0,0,0
1589363089004,0,0,0,0
1589363090453,0,0,0,0
1589363100368,0,0,0,0
1589363106050,7,6,4,1
1589363116937,0,0,0,0
1589363121131,1,1,4,0
1589363125283,0,0,0,0
1589363129794,0,0,0,0
1589363131162,2,2,0,0
1589363135320,0,0,0,0
1589363140860,0,0,0,0
1589363145244,0,0,0,0
1589363153381,0,0,0,0
1589363160428,0,0,0,0
1589363161842,0,0,0,0
1589363170356,16,15,5,1
1589363171779,0,0,0,0
1589363173151,0,0,0,0
1589363196663,0,0,0,0
1589363200887,0,0,0,0
1589363212032,0,0,0,0
1589363215947,0,0,0,0
1589363218667,0,0,0,0
1589363223077,0,0,0,0
1589363225900,24,24,6,2
1589363243687,0,0,0,0
1589363251956,0,0,0,0
1589363254736,0,0,0,0
1589363257461,0,0,2,0
1589363263025,1,1,3,0
1589363264434,2,2,0,0
1589363267205,0,0,0,0
1589363269959,0,0,0,0
1589363276892,0,0,0,0
1589363292134,7,7,0,0
1589363295002,0,0,0,0
1589363299167,0,0,0,0
1589363303310,0,0,0,0
1589363311474,0,0,0,0
1589363317067,0,0,0,0
1589363338321,16,16,7,3
1589363339742,0,0,0,0
1589363356218,15,14,0,0
